"","n","parameter","estimation"
"407","100","theta",0.175661915098638
"408","100","theta",-0.103314834734529
"409","100","theta",-0.00843672790481383
"410","100","theta",-0.0759893073185967
"411","100","theta",-1.16094841393138
"412","100","theta",-0.0228356967719435
"413","100","theta",-0.139878841064202
"414","100","theta",-0.0573096799320187
"415","100","theta",0.243168146710553
"416","100","theta",-0.295977511440675
"417","100","theta",-0.0251032471367883
"418","100","theta",0.0772020700199055
"419","100","theta",-0.328903259288645
"420","100","theta",-0.184478376191167
"421","100","theta",0.416888737058383
"422","100","theta",-0.397079669220784
"423","100","theta",-0.478744382515527
"424","100","theta",-0.07487564757495
"425","100","theta",-0.164929378012577
"426","100","theta",-2.36043796674616
"427","100","theta",0.794252622937418
"428","100","theta",0.515826763877686
"429","100","theta",0.60601692923757
"430","100","theta",-0.165828293013385
"431","100","theta",0.263131497122053
"432","100","theta",-3
"433","100","theta",0.777741819312213
"434","100","theta",0.0661023318509033
"435","100","theta",1.09424655115184
"436","100","theta",-0.202598409277014
"437","100","theta",0.332642153176519
"438","100","theta",-0.51465344861431
"439","100","theta",-0.188485218326586
"440","100","theta",0.0738653481755905
"441","100","theta",-0.29144292546739
"442","100","theta",-0.457519400826133
"443","100","theta",-0.434181990070116
"444","100","theta",-0.490189680043024
"445","100","theta",0.0779234264630264
"446","100","theta",-0.296445704056389
"447","100","theta",0.293792953392252
"448","100","theta",-0.15631016279997
"449","100","theta",-0.132477530909837
"450","100","theta",-0.874313890802955
"451","100","theta",1.29389288745605
"452","100","theta",0.970281625068093
"453","100","theta",-1.26265921503922
"454","100","theta",-0.0623323400095769
"455","100","theta",-0.384092369780743
"456","100","theta",3
"457","100","theta",0.486240877353456
"458","100","theta",-0.337472432990031
"459","100","theta",0.365394963825413
"460","100","theta",-1.1296587322913
"461","100","theta",0.0414865268869306
"462","100","theta",-0.213089634181582
"463","100","theta",-0.355700924221625
"464","100","theta",0.875375049902674
"465","100","theta",-0.101301079580589
"466","100","theta",-0.383162001474551
"467","100","theta",-0.594408048875453
"468","100","theta",0.778417428355324
"469","100","theta",3
"470","100","theta",0.058140006946749
"471","100","theta",-0.397025114238173
"472","100","theta",-0.744108047667036
"473","100","theta",-0.202120028834872
"474","100","theta",-3
"475","100","theta",-1.1956980462179
"476","100","theta",0.1781696966126
"477","100","theta",0.088081658464503
"478","100","theta",-0.722725299074272
"479","100","theta",-0.446926014228496
"480","100","theta",-0.237274772798444
"481","100","theta",0.272182860273612
"482","100","theta",0.915025367372128
"483","100","theta",-0.165173579308671
"484","100","theta",-0.033932813891599
"485","100","theta",-0.00472489511307024
"486","100","theta",0.0297260191898913
"487","100","theta",-1.07486843876613
"488","100","theta",-0.152834642060434
"489","100","theta",0.729413428316891
"490","100","theta",-0.498484482659036
"491","100","theta",-1.19992335840321
"492","100","theta",0.585653453524551
"493","100","theta",-0.855557037146365
"494","100","theta",1.20088938485378
"495","100","theta",-0.178998233222038
"496","100","theta",-0.000909020713349281
"497","100","theta",2.52808403952649
"498","100","theta",-0.270538419398267
"499","100","theta",-3
"500","100","theta",-1.3264430491446
"501","1000","mu",-0.0210259347762284
"502","1000","mu",0.00135209769191863
"503","1000","mu",-0.0112253710365098
"504","1000","mu",-0.00962010968838516
"505","1000","mu",-0.00770446795931043
"506","1000","mu",0.000334785990232869
"507","1000","mu",0.0213763886550617
"508","1000","mu",-0.00505596010856808
"509","1000","mu",-0.00883051426589843
"510","1000","mu",-0.0151769996908196
"511","1000","mu",0.00518879983295612
"512","1000","mu",-0.0118542478885899
"513","1000","mu",0.0168981809962084
"514","1000","mu",0.0133133058152634
"515","1000","mu",0.00304347571429846
"516","1000","mu",-0.024798207213342
"517","1000","mu",0.000301462878435543
"518","1000","mu",-0.017069168453873
"519","1000","mu",-0.00358365807041009
"520","1000","mu",0.03196827690838
"521","1000","mu",-0.0271696508431863
"522","1000","mu",-0.000499465141538199
"523","1000","mu",0.00368434847106761
"524","1000","mu",0.00389709712969078
"525","1000","mu",0.00685627999539096
"526","1000","mu",-0.0179164288245237
"527","1000","mu",-1.92130107349543e-05
"528","1000","mu",0.00517874237878527
"529","1000","mu",-0.0307752504557509
"530","1000","mu",-0.00563194314820398
"531","1000","mu",1.71765393073347e-05
"532","1000","mu",0.00136032527928821
"533","1000","mu",0.0201463544550666
"534","1000","mu",0.00668296371450812
"535","1000","mu",-0.00781522429872021
"536","1000","mu",0.0016206590621761
"537","1000","mu",0.00936643268685872
"538","1000","mu",0.0121881798654891
"539","1000","mu",0.00258511675537435
"540","1000","mu",-0.0251193738138931
"541","1000","mu",0.00294222350578943
"542","1000","mu",0.0165047120428685
"543","1000","mu",-0.0102970756597446
"544","1000","mu",0.0094864920516091
"545","1000","mu",0.00603608096636181
"546","1000","mu",-0.00650986827338322
"547","1000","mu",0.0216381286522843
"548","1000","mu",0.00358897027584229
"549","1000","mu",-0.0118400486499472
"550","1000","mu",-0.015861541481879
"551","1000","mu",0.0200730991478541
"552","1000","mu",-0.0156426029353703
"553","1000","mu",0.011405877636579
"554","1000","mu",0.00308193839576383
"555","1000","mu",0.0132091545679719
"556","1000","mu",0.00624249363321096
"557","1000","mu",0.0198693648961506
"558","1000","mu",0.0162698653362807
"559","1000","mu",-0.00282303264865464
"560","1000","mu",0.0150709492546281
"561","1000","mu",0.0231471340647839
"562","1000","mu",-0.00431937794425002
"563","1000","mu",-0.0100661709445391
"564","1000","mu",0.0133478001678438
"565","1000","mu",-0.0109303861416583
"566","1000","mu",0.00117083105495891
"567","1000","mu",0.0169931951186688
"568","1000","mu",0.000868789848487637
"569","1000","mu",-0.00207438198452571
"570","1000","mu",-0.00663825487575522
"571","1000","mu",0.00553261354361038
"572","1000","mu",0.0029153779698895
"573","1000","mu",0.00676454894110596
"574","1000","mu",-0.00238593866640006
"575","1000","mu",0.00279892006720242
"576","1000","mu",0.0181330709012051
"577","1000","mu",-0.00373661160909942
"578","1000","mu",-0.0138513132755439
"579","1000","mu",-0.0108835767288081
"580","1000","mu",-0.0288247871227653
"581","1000","mu",-0.00926029008468676
"582","1000","mu",0.0111650493319869
"583","1000","mu",-0.0130911125380122
"584","1000","mu",0.00893969998393908
"585","1000","mu",0.00420372433614883
"586","1000","mu",0.00559839412325652
"587","1000","mu",-0.0173022212441453
"588","1000","mu",-0.00952871334472872
"589","1000","mu",-0.00289148548131425
"590","1000","mu",-0.0217677581813456
"591","1000","mu",-0.00727133113196664
"592","1000","mu",0.0120606431322076
"593","1000","mu",0.0082527862850571
"594","1000","mu",0.00122933576978848
"595","1000","mu",0.00297257767477077
"596","1000","mu",-0.00549512914982503
"597","1000","mu",0.019240603245088
"598","1000","mu",-0.00234271272996629
"599","1000","mu",0.0139797285478318
"600","1000","mu",0.0128327888446226
"601","1000","omega",0.00568431713058662
"602","1000","omega",0.0394115372750175
"603","1000","omega",0.0340194194596099
"604","1000","omega",0.00661678146127611
"605","1000","omega",0.00836892468544174
"606","1000","omega",0.0169149623086939
"607","1000","omega",0.00592978869015919
"608","1000","omega",0.0121814206573645
"609","1000","omega",0.0295529615857623
"610","1000","omega",0.0170040804679647
"611","1000","omega",0.00618325968490258
"612","1000","omega",0.00440766550020966
"613","1000","omega",0.00731581750056766
"614","1000","omega",0.00822834687651717
"615","1000","omega",0.0114228881768017
"616","1000","omega",0.00355287766040262
"617","1000","omega",0.0586110417917368
"618","1000","omega",0.0257020776259496
"619","1000","omega",0.00319717549013155
"620","1000","omega",0.0193945957514793
"621","1000","omega",0.0313047564596289
"622","1000","omega",0.00437162411601901
"623","1000","omega",0.0447690487366258
"624","1000","omega",0.00425874259773728
"625","1000","omega",0.0101412636343177
"626","1000","omega",0.00538225868216182
"627","1000","omega",0.0180778650745392
"628","1000","omega",0.0112956375941706
"629","1000","omega",0.00368572848538695
"630","1000","omega",0.0069758675075302
"631","1000","omega",0.00753761820026557
"632","1000","omega",0.00505285152676994
"633","1000","omega",0.00628662295269868
"634","1000","omega",0.0825655828985401
"635","1000","omega",0.0119398053334811
"636","1000","omega",0.0107742849650808
"637","1000","omega",0.00454157087849154
"638","1000","omega",0.00925842603147719
"639","1000","omega",0.039583827169867
"640","1000","omega",0.00962255693032122
"641","1000","omega",0.021091689899556
"642","1000","omega",0.0114330697500199
"643","1000","omega",0.00721969329536887
"644","1000","omega",0.0132198795553351
"645","1000","omega",0.0102730705446872
"646","1000","omega",0.0845559356427762
"647","1000","omega",0.0176516311180975
"648","1000","omega",0.00432818298558039
"649","1000","omega",0.0140608297891319
"650","1000","omega",0.00722393738500708
"651","1000","omega",0.0124505361319023
"652","1000","omega",0.0208345792093779
"653","1000","omega",0.0147211352492116
"654","1000","omega",0.0148643966730782
"655","1000","omega",0.00882780158977151
"656","1000","omega",0.0198757131753383
"657","1000","omega",0.00387293803865673
"658","1000","omega",0.0178928332075306
"659","1000","omega",0.00614705387508473
"660","1000","omega",0.0118489288427682
"661","1000","omega",0.0208711772515124
"662","1000","omega",0.00623784147197269
"663","1000","omega",0.0124081681939343
"664","1000","omega",0.00893010839482566
"665","1000","omega",0.015615474570529
"666","1000","omega",0.00794626986679854
"667","1000","omega",0.00684212047141595
"668","1000","omega",0.0128160670094706
"669","1000","omega",0.0468581076986181
"670","1000","omega",0.011936760025861
"671","1000","omega",0.00757973745342586
"672","1000","omega",0.00944191593737834
"673","1000","omega",0.0350040297812109
"674","1000","omega",0.0114229744855087
"675","1000","omega",0.00676779665789802
"676","1000","omega",0.0200100939892843
"677","1000","omega",0.0278091339576665
"678","1000","omega",0.00739669204539151
"679","1000","omega",0.017571331185838
"680","1000","omega",0.00532529417788538
"681","1000","omega",0.0184030678561015
"682","1000","omega",0.0146113974627538
"683","1000","omega",0.0241006606049635
"684","1000","omega",0.00874982685635516
"685","1000","omega",0.0171474267468096
"686","1000","omega",0.00575696685307804
"687","1000","omega",0.00529980219699435
"688","1000","omega",0.035610426776983
"689","1000","omega",0.0613638453705446
"690","1000","omega",0.0102333840028304
"691","1000","omega",0.00967972737135055
"692","1000","omega",0.00361548112155408
"693","1000","omega",0.00702285737522334
"694","1000","omega",0.00125268962197811
"695","1000","omega",0.00317998686050216
"696","1000","omega",0.0104634364106301
"697","1000","omega",0.00594859517618381
"698","1000","omega",0.00806078354763519
"699","1000","omega",0.0146652821684749
"700","1000","omega",0.017027408485943
"701","1000","alpha",0.0487497103488705
"702","1000","alpha",0.0890323114167993
"703","1000","alpha",0.0747798811675917
"704","1000","alpha",0.0394718437534622
"705","1000","alpha",0.0360584801316178
"706","1000","alpha",0.042060426035699
"707","1000","alpha",0.0537218593605851
"708","1000","alpha",0.0373475266485831
"709","1000","alpha",0.0551874331132139
"710","1000","alpha",0.0466906108193863
"711","1000","alpha",0.0479909958945208
"712","1000","alpha",0.0491743687548008
"713","1000","alpha",0.0444873419484766
"714","1000","alpha",0.0394509183273473
"715","1000","alpha",0.0168019525887438
"716","1000","alpha",0.0333513871560566
"717","1000","alpha",0.0900014359634195
"718","1000","alpha",0.0852044984998466
"719","1000","alpha",0.0390830983469154
"720","1000","alpha",0.0261732461911239
"721","1000","alpha",0.0793915688936681
"722","1000","alpha",0.0146804856392956
"723","1000","alpha",0.064312641810954
"724","1000","alpha",0.0336742161468669
"725","1000","alpha",0.048069980775042
"726","1000","alpha",0.0679308187354965
"727","1000","alpha",0.0407480003346479
"728","1000","alpha",0.0560925385419756
"729","1000","alpha",0.0310733906286794
"730","1000","alpha",0.03395597781788
"731","1000","alpha",0.0287848194415115
"732","1000","alpha",0.0129582631830039
"733","1000","alpha",0.0401116630617435
"734","1000","alpha",0.0662601242940848
"735","1000","alpha",0.0575412972206776
"736","1000","alpha",0.0489838880985128
"737","1000","alpha",0.0502918482693275
"738","1000","alpha",0.0481150357792495
"739","1000","alpha",0.0909119303406334
"740","1000","alpha",0.0312413871416062
"741","1000","alpha",0.0507819822272862
"742","1000","alpha",0.0114484646851501
"743","1000","alpha",0.0440295646811477
"744","1000","alpha",0.0644005718875127
"745","1000","alpha",0.027292358928806
"746","1000","alpha",0.089670453255673
"747","1000","alpha",0.048061752341323
"748","1000","alpha",0.0357165863603307
"749","1000","alpha",0.0746022023169639
"750","1000","alpha",0.0603876257355358
"751","1000","alpha",0.044852561324376
"752","1000","alpha",0.0808157423125243
"753","1000","alpha",0.0605257043270267
"754","1000","alpha",0.0771294207247588
"755","1000","alpha",0.0431689375306064
"756","1000","alpha",0.0528994117641547
"757","1000","alpha",0.0278039305052676
"758","1000","alpha",0.0641737932140026
"759","1000","alpha",0.0247598377418508
"760","1000","alpha",0.0444701236443968
"761","1000","alpha",0.0432016656969955
"762","1000","alpha",0.0231019797031256
"763","1000","alpha",0.045198650570193
"764","1000","alpha",0.0212094617986199
"765","1000","alpha",0.0599028046574555
"766","1000","alpha",0.00251150166428092
"767","1000","alpha",0.0515256789047044
"768","1000","alpha",0.0619411867060117
"769","1000","alpha",0.116755426577004
"770","1000","alpha",0.0498613889399993
"771","1000","alpha",0.0469955573349393
"772","1000","alpha",0.0518479729601113
"773","1000","alpha",0.0677093824586612
"774","1000","alpha",0.043738311681759
"775","1000","alpha",0.0388546974792126
"776","1000","alpha",0.0564083078337887
"777","1000","alpha",0.0785902411494834
"778","1000","alpha",0.0536041657976787
"779","1000","alpha",0.0369081441329764
"780","1000","alpha",0.0479009536743419
"781","1000","alpha",0.0587769365979039
"782","1000","alpha",0.0678498261071233
"783","1000","alpha",0.056310012272241
"784","1000","alpha",0.0553727823329783
"785","1000","alpha",0.0853433321520551
"786","1000","alpha",0.0304256312795139
"787","1000","alpha",0.0455623723944265
"788","1000","alpha",0.0477846435015347
"789","1000","alpha",0.094149519564507
"790","1000","alpha",0.0738606671734207
"791","1000","alpha",0.0448856045327451
"792","1000","alpha",0.0358309073002002
"793","1000","alpha",0.0254194719704716
"794","1000","alpha",0.0237324745236911
"795","1000","alpha",0.022845582761774
"796","1000","alpha",0.0250152781619178
"797","1000","alpha",0.0555355803166644
"798","1000","alpha",0.0584122900357243
"799","1000","alpha",0.0527469909631329
"800","1000","alpha",0.0666530491082057
"801","1000","beta",0.924538595638096
"802","1000","beta",0.69285562320731
"803","1000","beta",0.769906297650566
"804","1000","beta",0.929518482370375
"805","1000","beta",0.913464466540024
"806","1000","beta",0.866889681191614
"807","1000","beta",0.915646100368176
"808","1000","beta",0.895148958525103
"809","1000","beta",0.804826993272117
"810","1000","beta",0.853586091298975
"811","1000","beta",0.919833138993765
"812","1000","beta",0.925859095156457
"813","1000","beta",0.916030600610994
"814","1000","beta",0.922449073784949
"815","1000","beta",0.919227361516104
